Continent ,Country ,Movies Produced
Europe,Albania    ,1
Africa,Algeria    ,1
South America,Argentina   ,45
Oceania and Australia,Australia   ,47
Europe,Austria    ,5
Asia,Bangladesh    ,2
Europe,Belgium   ,45
North America,Bermuda    ,1
South America,Brazil   ,31
Europe,Bulgaria    ,6
Asia,Cambodia    ,3
North America,Canada  ,174
North America,Cayman Islands    ,1
South America,Chile   ,16
Asia,China   ,70
South America,Colombia    ,9
Europe,Croatia    ,3
Europe,Czech Republic    ,5
Europe,Denmark   ,16
North America,Dominican Republic    ,1
Europe,East Germany    ,1
South America,Ecuador    ,1
Africa,Egypt   ,76
Europe,Finland    ,3
Europe,France  ,172
Asia,Georgia    ,1
Europe,Germany   ,97
Africa,Ghana    ,4
Europe,Greece    ,2
North America, Guatemala    ,1
Asia,Hong Kong   ,79
Europe,Hungary    ,7
Europe,Iceland    ,3
Asia, India  ,695
Asia, Indonesia   ,59
Asia,Iran    ,3
Europe, Ireland   ,17
Asia, Israel   ,10
Europe, Italy   ,31
North America,Jamaica    ,1
Asia, Japan   ,78
Asia, Jordan    ,6
Africa,Kenya    ,1
Asia, Kuwait    ,4
Asia,Lebanon    ,4
Europe,Luxembourg    ,6
Africa,Malawi    ,1
Asia,Malaysia   ,15
Europe,Malta    ,1
North America,Mexico   ,73
Europe,Montenegro    ,1
Africa, Morocco    ,4
Asia,Nepal    ,1
Europe,Netherlands   ,22
Oceania and Australia,New Zealand   ,11
Africa,Nigeria   ,48
Europe,Norway    ,8
Asia,Pakistan   ,16
South America,Paraguay    ,1
South America,Peru    ,7
Asia,Philippines   ,47
Europe,Poland   ,22
Europe,Portugal    ,3
Asia,Qatar    ,7
Europe,Romania   ,10
Europe,Russia    ,3
Europe,Saudi Arabia    ,5
Africa,Senegal    ,1
Europe,Serbia    ,4
Asia,Singapore   ,15
Europe,Slovakia    ,1
Europe,Slovenia    ,2
Africa,South Africa   ,22
Asia, South Korea   ,34
Europe,Soviet Union    ,3
Europe,Spain  ,120
Asia,Sri Lanka    ,1
Europe,Sweden   ,11
Europe,Switzerland   ,11
Asia,Taiwan    ,9
Asia,Thailand   ,36
Africa,Tunisia    ,1
Europe,Turkey   ,64
Asia,United Arab Emirates   ,24
Europe,United Kingdom  ,245
North America,United States ,1400
South America,Uruguay    ,7
South America,Venezuela    ,1
Asia,Vietnam    ,3
Europe,West Germany    ,3
Africa,Zimbabwe    ,1
